timestamp,voltage,current,power_factor,frequency,active_power,energy
2025-01-01 00:00:00,231.82,1.657,0.823,49.983,316.29,0.31629
2025-01-01 01:00:00,233.37,1.226,0.823,49.974,235.51,0.23551
2025-01-01 02:00:00,230.24,1.413,0.821,49.975,266.93,0.26693
2025-01-01 03:00:00,233.63,1.31,0.836,49.965,256.02,0.25602
2025-01-01 04:00:00,231.85,1.014,0.821,49.983,193.03,0.19303
2025-01-01 05:00:00,230.4,1.546,0.824,49.969,293.42,0.29342
2025-01-01 06:00:00,230.87,2.757,0.851,50.021,541.88,0.54188
2025-01-01 07:00:00,229.95,3.446,0.88,50.007,697.24,0.69724
2025-01-01 08:00:00,229.96,3.747,0.883,50.042,760.79,0.76079
2025-01-01 09:00:00,232.93,2.97,0.845,50.066,584.93,0.58493
2025-01-01 10:00:00,229.62,3.237,0.855,50.024,635.38,0.63538
2025-01-01 11:00:00,234.28,2.979,0.863,50.016,602.57,0.60257
2025-01-01 12:00:00,228.72,3.113,0.863,50.026,614.72,0.61472
2025-01-01 13:00:00,233.76,3.403,0.856,50.016,680.74,0.68074
2025-01-01 14:00:00,229.41,2.929,0.864,50.002,580.55,0.58055
2025-01-01 15:00:00,231.63,2.48,0.838,49.999,481.35,0.48135
2025-01-01 16:00:00,230.14,3.166,0.875,49.964,637.46,0.63746
2025-01-01 17:00:00,230.24,3.387,0.871,50.029,679.47,0.67947
2025-01-01 18:00:00,230.5,5.513,0.9,49.999,1143.56,1.14356
2025-01-01 19:00:00,231.48,5.739,0.913,50.051,1212.44,1.21244
2025-01-01 20:00:00,231.15,5.513,0.907,50.032,1155.69,1.15569
2025-01-01 21:00:00,229.36,4.317,0.887,49.978,878.14,0.87814
2025-01-01 22:00:00,230.74,3.934,0.875,50.044,794.51,0.79451
2025-01-01 23:00:00,230.35,2.342,0.832,49.91,448.99,0.44899
2025-01-02 00:00:00,230.59,1.546,0.814,50.068,290.22,0.29022
2025-01-02 01:00:00,230.44,1.339,0.83,49.953,256.28,0.25628
2025-01-02 02:00:00,231.7,1.358,0.828,50.017,260.54,0.26054
2025-01-02 03:00:00,233.02,1.246,0.824,50.015,239.42,0.23942
2025-01-02 04:00:00,229.06,1.355,0.828,50.039,256.83,0.25683
2025-01-02 05:00:00,232.01,1.882,0.829,49.988,361.96,0.36196
2025-01-02 06:00:00,233.54,3.406,0.869,49.925,691.36,0.69136
2025-01-02 07:00:00,232.83,3.325,0.893,49.989,691.09,0.69109
2025-01-02 08:00:00,229.65,3.548,0.882,49.992,718.28,0.71828
2025-01-02 09:00:00,228.7,3.014,0.854,49.928,588.84,0.58884
2025-01-02 10:00:00,231.93,3.111,0.855,50.002,616.81,0.61681
